,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
353,2017-05-09,3.6389770119707916,3.487154979171005,3.9774806117028056,3.6389770119707916,3.6389770119707916,0.09165962089570925,0.09165962089570925,0.09165962089570925,0.029236165090645656,0.029236165090645656,0.029236165090645656,0.06242345580506361,0.06242345580506361,0.06242345580506361,0.0,0.0,0.0,3.730636632866501
354,2017-05-10,3.6366182249016332,3.449607852869301,3.9775351236372876,3.6366182249016332,3.6366182249016332,0.09280328850223656,0.09280328850223656,0.09280328850223656,0.026343755798791512,0.026343755798791512,0.026343755798791512,0.06645953270344504,0.06645953270344504,0.06645953270344504,0.0,0.0,0.0,3.72942151340387
355,2017-05-11,3.6342594378324753,3.486375789178671,3.9945025244772694,3.6342594378324753,3.6342594378324753,0.09419926703340618,0.09419926703340618,0.09419926703340618,0.024318621205615263,0.024318621205615263,0.024318621205615263,0.06988064582779092,0.06988064582779092,0.06988064582779092,0.0,0.0,0.0,3.7284587048658815
356,2017-05-14,3.627183076625001,3.4730601572427515,3.997288033710565,3.627183076625001,3.627183076625001,0.10150676496283267,0.10150676496283267,0.10150676496283267,0.025391355569061923,0.025391355569061923,0.025391355569061923,0.07611540939377076,0.07611540939377076,0.07611540939377076,0.0,0.0,0.0,3.728689841587834
357,2017-05-15,3.624824289555843,3.4572033527764794,3.9783489708337547,3.624824289555843,3.624824289555843,0.10527947652070584,0.10527947652070584,0.10527947652070584,0.028476459987754384,0.028476459987754384,0.028476459987754384,0.07680301653295148,0.07680301653295148,0.07680301653295148,0.0,0.0,0.0,3.730103766076549
358,2017-05-16,3.622465502486685,3.465718801643495,3.985209681049064,3.622465502486685,3.622465502486685,0.10604041171603736,0.10604041171603736,0.10604041171603736,0.029236165090886623,0.029236165090886623,0.029236165090886623,0.07680424662515074,0.07680424662515074,0.07680424662515074,0.0,0.0,0.0,3.7285059142027226
359,2017-05-17,3.6201067154175273,3.4623763363615323,3.986540704881033,3.6201067154175273,3.6201067154175273,0.10248714797957699,0.10248714797957699,0.10248714797957699,0.02634375579854683,0.02634375579854683,0.02634375579854683,0.07614339218103017,0.07614339218103017,0.07614339218103017,0.0,0.0,0.0,3.7225938633971043
360,2017-05-18,3.617747928348369,3.4525586635217604,3.9758909738876267,3.617747928348369,3.617747928348369,0.09917487622459631,0.09917487622459631,0.09917487622459631,0.024318621205543744,0.024318621205543744,0.024318621205543744,0.07485625501905258,0.07485625501905258,0.07485625501905258,0.0,0.0,0.0,3.716922804572965
361,2017-05-21,3.6106715671408947,3.442659761518098,3.966465133510869,3.6106715671408947,3.6106715671408947,0.09313316136167121,0.09313316136167121,0.09313316136167121,0.025391355569120477,0.025391355569120477,0.025391355569120477,0.06774180579255072,0.06774180579255072,0.06774180579255072,0.0,0.0,0.0,3.7038047285025657
362,2017-05-22,3.6083140712905974,3.4421445709021947,3.9509010519133856,3.6083140712905974,3.6083140712905974,0.09296894174409595,0.09296894174409595,0.09296894174409595,0.0284764599878258,0.0284764599878258,0.0284764599878258,0.06449248175627015,0.06449248175627015,0.06449248175627015,0.0,0.0,0.0,3.7012830130346934
363,2017-05-23,3.6059565754403,3.4531654058320984,3.9632222751306077,3.6059565754403,3.6059565754403,0.09015681561517364,0.09015681561517364,0.09015681561517364,0.029236165090764696,0.029236165090764696,0.029236165090764696,0.060920650524408954,0.060920650524408954,0.060920650524408954,0.0,0.0,0.0,3.6961133910554733
364,2017-05-24,3.6035990795900026,3.415994647309043,3.9560153604776707,3.6035990795900026,3.6035990795900026,0.08344399280309858,0.08344399280309858,0.08344399280309858,0.02634375579892982,0.02634375579892982,0.02634375579892982,0.05710023700416875,0.05710023700416875,0.05710023700416875,0.0,0.0,0.0,3.6870430723931014
365,2017-05-25,3.601241583739705,3.4232572770690792,3.9432205080943987,3.601241583739705,3.601241583739705,0.07742392838671808,0.07742392838671808,0.07742392838671808,0.02431862120577821,0.02431862120577821,0.02431862120577821,0.053105307180939865,0.053105307180939865,0.053105307180939865,0.0,0.0,0.0,3.678665512126423
366,2017-05-28,3.5941690961888124,3.398840018468234,3.911966324662968,3.5941690961888124,3.5941690961888124,0.0661710486880361,0.0661710486880361,0.0661710486880361,0.025391355569179055,0.025391355569179055,0.025391355569179055,0.040779693118857055,0.040779693118857055,0.040779693118857055,0.0,0.0,0.0,3.6603401448768484
367,2017-05-29,3.5918116003385148,3.383638259845035,3.9364360244581427,3.5918116003385148,3.5918116003385148,0.0652470306928562,0.0652470306928562,0.0652470306928562,0.02847645998789723,0.02847645998789723,0.02847645998789723,0.03677057070495896,0.03677057070495896,0.03677057070495896,0.0,0.0,0.0,3.657058631031371
368,2017-05-30,3.589454104488217,3.3741882136096675,3.9205066376456,3.589454104488217,3.589454104488217,0.062138002028937586,0.062138002028937586,0.062138002028937586,0.029236165091005656,0.029236165091005656,0.029236165091005656,0.03290183693793193,0.03290183693793193,0.03290183693793193,0.0,0.0,0.0,3.6515921065171546
369,2017-05-31,3.5870966086379195,3.373122796617249,3.9015038730664453,3.5870966086379195,3.5870966086379195,0.055559987911924215,0.055559987911924215,0.055559987911924215,0.026343755798585673,0.026343755798585673,0.026343755798585673,0.029216232113338545,0.029216232113338545,0.029216232113338545,0.0,0.0,0.0,3.642656596549844
370,2017-06-01,3.584739112787622,3.382322589617773,3.9064434838472124,3.584739112787622,3.584739112787622,0.050066347544569026,0.050066347544569026,0.050066347544569026,0.0243186212057067,0.0243186212057067,0.0243186212057067,0.025747726338862336,0.025747726338862336,0.025747726338862336,0.0,0.0,0.0,3.6348054603321907
371,2017-06-04,3.5776666252367297,3.3537411279529503,3.872445754489466,3.5776666252367297,3.5776666252367297,0.042238461247795164,0.042238461247795164,0.042238461247795164,0.025391355569237606,0.025391355569237606,0.025391355569237606,0.01684710567855756,0.01684710567855756,0.01684710567855756,0.0,0.0,0.0,3.619905086484525
372,2017-06-05,3.575309129386432,3.3646949362590988,3.882225425535105,3.575309129386432,3.575309129386432,0.042880379801055274,0.042880379801055274,0.042880379801055274,0.028476459987663637,0.028476459987663637,0.028476459987663637,0.01440391981339164,0.01440391981339164,0.01440391981339164,0.0,0.0,0.0,3.6181895091874874
373,2017-06-06,3.5729516335361344,3.344202311741367,3.864778227295714,3.5729516335361344,3.5729516335361344,0.041448396473453865,0.041448396473453865,0.041448396473453865,0.02923616509062912,0.02923616509062912,0.02923616509062912,0.012212231382824741,0.012212231382824741,0.012212231382824741,0.0,0.0,0.0,3.6144000300095884
374,2017-06-07,3.5705941376858368,3.333337920093838,3.892243277903243,3.5705941376858368,3.5705941376858368,0.036598139316582755,0.036598139316582755,0.036598139316582755,0.02634375579834097,0.02634375579834097,0.02634375579834097,0.010254383518241794,0.010254383518241794,0.010254383518241794,0.0,0.0,0.0,3.6071922770024196
375,2017-06-08,3.5682366418355396,3.329355327296602,3.8539803730500073,3.5682366418355396,3.5682366418355396,0.03282494898010829,0.03282494898010829,0.03282494898010829,0.024318621205635188,0.024318621205635188,0.024318621205635188,0.008506327774473101,0.008506327774473101,0.008506327774473101,0.0,0.0,0.0,3.601061590815648
376,2017-06-11,3.5611641542846466,3.331608733862302,3.862652364368158,3.5611641542846466,3.5611641542846466,0.029598766152853707,0.029598766152853707,0.029598766152853707,0.02539135556919471,0.02539135556919471,0.02539135556919471,0.004207410583658993,0.004207410583658993,0.004207410583658993,0.0,0.0,0.0,3.5907629204375002
377,2017-06-12,3.5588066584343494,3.3231544124080883,3.8698753704644653,3.5588066584343494,3.5588066584343494,0.0314453547377168,0.0314453547377168,0.0314453547377168,0.028476459988025383,0.028476459988025383,0.028476459988025383,0.0029688947496914063,0.0029688947496914063,0.0029688947496914063,0.0,0.0,0.0,3.590252013172066
378,2017-06-13,3.5564491625840517,3.329214195100456,3.840690871318654,3.5564491625840517,3.5564491625840517,0.030999578603948655,0.030999578603948655,0.030999578603948655,0.02923616509087008,0.02923616509087008,0.02923616509087008,0.0017634135130785785,0.0017634135130785785,0.0017634135130785785,0.0,0.0,0.0,3.5874487411880005
379,2017-06-14,3.5540916667337545,3.3300924269985277,3.8354760105658707,3.5540916667337545,3.5540916667337545,0.026896306781342572,0.026896306781342572,0.026896306781342572,0.026343755798823438,0.026343755798823438,0.026343755798823438,0.0005525509825191338,0.0005525509825191338,0.0005525509825191338,0.0,0.0,0.0,3.580987973515097
380,2017-06-15,3.5517341708834573,3.317343642243076,3.8462059474642327,3.5517341708834573,3.5517341708834573,0.023618068033621417,0.023618068033621417,0.023618068033621417,0.02431862120556368,0.02431862120556368,0.02431862120556368,-0.0007005531719422606,-0.0007005531719422606,-0.0007005531719422606,0.0,0.0,0.0,3.5753522389170787
381,2017-06-18,3.5446616833325644,3.2855878832276795,3.8261117436651815,3.5446616833325644,3.5446616833325644,0.0203512414185045,0.0203512414185045,0.0203512414185045,0.025391355569413535,0.025391355569413535,0.025391355569413535,-0.005040114150909038,-0.005040114150909038,-0.005040114150909038,0.0,0.0,0.0,3.565012924751069
382,2017-06-19,3.5423041874822667,3.31394301521648,3.8427370960459166,3.5423041874822667,3.5423041874822667,0.021706271414679307,0.021706271414679307,0.021706271414679307,0.028476459987806485,0.028476459987806485,0.028476459987806485,-0.0067701885731271845,-0.0067701885731271845,-0.0067701885731271845,0.0,0.0,0.0,3.564010458896946
383,2017-06-20,3.5399466916319695,3.315407172748883,3.8292812218964483,3.5399466916319695,3.5399466916319695,0.02056017588139444,0.02056017588139444,0.02056017588139444,0.02923616509085642,0.02923616509085642,0.02923616509085642,-0.008675989209461981,-0.008675989209461981,-0.008675989209461981,0.0,0.0,0.0,3.560506867513364
384,2017-06-21,3.5375891957816723,3.294472249513068,3.8034916251793254,3.5375891957816723,3.5375891957816723,0.015573141141599746,0.015573141141599746,0.015573141141599746,0.026343755798479272,0.026343755798479272,0.026343755798479272,-0.010770614656879531,-0.010770614656879531,-0.010770614656879531,0.0,0.0,0.0,3.553162336923272
385,2017-06-22,3.5352316999313738,3.2900577010300034,3.7984665948202485,3.5352316999313738,3.5352316999313738,0.011256424997151631,0.011256424997151631,0.011256424997151631,0.024318621205798138,0.024318621205798138,0.024318621205798138,-0.013062196208646506,-0.013062196208646506,-0.013062196208646506,0.0,0.0,0.0,3.5464881249285254
386,2017-06-25,3.5281592123804817,3.2577228653692933,3.790248774853503,3.5281592123804817,3.5281592123804817,0.004263082499634386,0.004263082499634386,0.004263082499634386,0.025391355569311828,0.025391355569311828,0.025391355569311828,-0.021128273069677444,-0.021128273069677444,-0.021128273069677444,0.0,0.0,0.0,3.5324222948801163
387,2017-06-26,3.5258017165301845,3.2497331128064717,3.7845603151009413,3.5258017165301845,3.5258017165301845,0.0042811961225122305,0.0042811961225122305,0.0042811961225122305,0.028476459987877914,0.028476459987877914,0.028476459987877914,-0.024195263865365673,-0.024195263865365673,-0.024195263865365673,0.0,0.0,0.0,3.5300829126526967
388,2017-06-27,3.523444220679887,3.2615934083149005,3.797525583287976,3.523444220679887,3.523444220679887,0.0018038750195078352,0.0018038750195078352,0.0018038750195078352,0.02923616509084277,0.02923616509084277,0.02923616509084277,-0.027432290071334933,-0.027432290071334933,-0.027432290071334933,0.0,0.0,0.0,3.5252480956993946
389,2017-06-28,3.521086724829589,3.2507084184183253,3.7882408493351503,3.521086724829589,3.521086724829589,-0.00447920582792134,-0.00447920582792134,-0.00447920582792134,0.026343755798598163,0.026343755798598163,0.026343755798598163,-0.030822961626519506,-0.030822961626519506,-0.030822961626519506,0.0,0.0,0.0,3.516607519001668
390,2017-06-29,3.5187292289792915,3.229926409556782,3.7787139318135576,3.5187292289792915,3.5187292289792915,-0.01002961299355364,-0.01002961299355364,-0.01002961299355364,0.024318621205434373,0.024318621205434373,0.024318621205434373,-0.03434823419898802,-0.03434823419898802,-0.03434823419898802,0.0,0.0,0.0,3.508699615985738
391,2017-07-02,3.5116567414283995,3.225029164365495,3.7474032978208904,3.5116567414283995,3.5116567414283995,-0.02011868795622053,-0.02011868795622053,-0.02011868795622053,0.025391355569268935,0.025391355569268935,0.025391355569268935,-0.04551004352548946,-0.04551004352548946,-0.04551004352548946,0.0,0.0,0.0,3.491538053472179
392,2017-07-03,3.509299245578102,3.2452199116805978,3.7475295277415075,3.509299245578102,3.509299245578102,-0.020867660115972044,-0.020867660115972044,-0.020867660115972044,0.02847645998793464,0.02847645998793464,0.02847645998793464,-0.04934412010390669,-0.04934412010390669,-0.04934412010390669,0.0,0.0,0.0,3.4884315854621297
393,2017-07-04,3.5069417497278037,3.2247226603167305,3.7550506053518897,3.5069417497278037,3.5069417497278037,-0.023954731444307018,-0.023954731444307018,-0.023954731444307018,0.029236165090720845,0.029236165090720845,0.029236165090720845,-0.05319089653502785,-0.05319089653502785,-0.05319089653502785,0.0,0.0,0.0,3.4829870182834965
394,2017-07-05,3.5045842538775065,3.206105380308779,3.726435119592708,3.5045842538775065,3.5045842538775065,-0.030678641289952093,-0.030678641289952093,-0.030678641289952093,0.026343755798353477,0.026343755798353477,0.026343755798353477,-0.05702239708830557,-0.05702239708830557,-0.05702239708830557,0.0,0.0,0.0,3.4739056125875543
395,2017-07-06,3.5022267580272093,3.2181241491024397,3.7278085424580265,3.5022267580272093,3.5022267580272093,-0.03649104565024904,-0.03649104565024904,-0.03649104565024904,0.02431862120565511,0.02431862120565511,0.02431862120565511,-0.06080966685590416,-0.06080966685590416,-0.06080966685590416,0.0,0.0,0.0,3.46573571237696
396,2017-07-09,3.4951542704763168,3.173337763237442,3.7028556734683016,3.4951542704763168,3.4951542704763168,-0.04620879628175551,-0.04620879628175551,-0.04620879628175551,0.025391355569327496,0.025391355569327496,0.025391355569327496,-0.071600151851083,-0.071600151851083,-0.071600151851083,0.0,0.0,0.0,3.448945474194561
397,2017-07-11,3.4904392787757215,3.1735090781674877,3.6855271515248034,3.4904392787757215,3.4904392787757215,-0.04875202722525069,-0.04875202722525069,-0.04875202722525069,0.0292361650909618,0.0292361650909618,0.0292361650909618,-0.0779881923162125,-0.0779881923162125,-0.0779881923162125,0.0,0.0,0.0,3.4416872515504706
398,2017-07-12,3.4880817829254243,3.1820805910407737,3.7021123101439897,3.4880817829254243,3.4880817829254243,-0.054489182657856024,-0.054489182657856024,-0.054489182657856024,0.026343755798835928,0.026343755798835928,0.026343755798835928,-0.08083293845669196,-0.08083293845669196,-0.08083293845669196,0.0,0.0,0.0,3.433592600267568
399,2017-07-13,3.4857242870751266,3.177201668568141,3.683603506969637,3.4857242870751266,3.4857242870751266,-0.05907380084464038,-0.05907380084464038,-0.05907380084464038,0.024318621205889582,0.024318621205889582,0.024318621205889582,-0.08339242205052996,-0.08339242205052996,-0.08339242205052996,0.0,0.0,0.0,3.426650486230486
400,2017-07-16,3.4786517995242336,3.167465959466123,3.673800293923927,3.4786517995242336,3.4786517995242336,-0.06353653993729717,-0.06353653993729717,-0.06353653993729717,0.025391355569386057,0.025391355569386057,0.025391355569386057,-0.08892789550668322,-0.08892789550668322,-0.08892789550668322,0.0,0.0,0.0,3.4151152595869365
401,2017-07-17,3.4762943036739364,3.142085932884481,3.661854448975703,3.4762943036739364,3.4762943036739364,-0.06142786135028813,-0.06142786135028813,-0.06142786135028813,0.028476459987772484,0.028476459987772484,0.028476459987772484,-0.0899043213380606,-0.0899043213380606,-0.0899043213380606,0.0,0.0,0.0,3.4148664423236483
402,2017-07-18,3.4739368078236392,3.1333057798226385,3.6665185618087466,3.4739368078236392,3.4739368078236392,-0.06112846463253192,-0.06112846463253192,-0.06112846463253192,0.029236165090585256,0.029236165090585256,0.029236165090585256,-0.09036462972311718,-0.09036462972311718,-0.09036462972311718,0.0,0.0,0.0,3.412808343191107
403,2017-07-19,3.471579311973341,3.1526807278765014,3.6734571931510285,3.471579311973341,3.471579311973341,-0.06391411449082494,-0.06391411449082494,-0.06391411449082494,0.02634375579849177,0.02634375579849177,0.02634375579849177,-0.09025787028931671,-0.09025787028931671,-0.09025787028931671,0.0,0.0,0.0,3.4076651974825163
404,2017-07-20,3.469221816123044,3.1340635803239967,3.666154078372548,3.469221816123044,3.469221816123044,-0.06521402584788326,-0.06521402584788326,-0.06521402584788326,0.02431862120552582,0.02431862120552582,0.02431862120552582,-0.08953264705340908,-0.08953264705340908,-0.08953264705340908,0.0,0.0,0.0,3.404007790275161
405,2017-07-23,3.4621493285721514,3.1354578306851795,3.6495945022438327,3.4621493285721514,3.4621493285721514,-0.05775144584353185,-0.05775144584353185,-0.05775144584353185,0.02539135556944461,0.02539135556944461,0.02539135556944461,-0.08314280141297649,-0.08314280141297649,-0.08314280141297649,0.0,0.0,0.0,3.4043978827286194
